Hours,dni,dhi,ghi,wind_speed,temp_air
2281.5,0.0416667,0.118333,0,6.69667,8.12667
2282.5,0,0.165,0,5.565,6.42
2283.5,0.05,0.24,0,5.00833,5.16167
2284.5,0.025,0.255,0,4.41667,3.89833
2285.5,0.676667,0.225,0,1.915,2.66333
2286.5,1.04833,0.251667,0,0.666667,0.918333
2287.5,3.185,0.17,0,0.343333,-0.453333
2288.5,3.4,0.191667,0,0.356667,-1.13833
2289.5,4.02,0.198333,0,0.285,-1.91333
2290.5,4.37833,2.63667,1.37333,0.336667,-2.14333
2291.5,473.228,30.03,81.34,0.26,-0.908333
2292.5,815.605,51.3433,286.508,0.755,1.93667
2293.5,930.767,62.8567,504.352,2.57167,4.87833
2294.5,982.723,71.8583,694.883,5.16667,6.33833
2295.5,1003.13,78.5767,831.428,4.54333,7.905
2296.5,1017.44,82.6567,914.952,5.47833,9.47333
2297.5,1020.06,82.9233,931.275,5.02,10.875
2298.5,1010.76,81.4933,882.605,5.49333,12.1417
2299.5,983.975,79.7333,770.978,5.60833,12.8933
2300.5,934.825,76.1017,606.06,6.18667,13.4767
2301.5,836.768,69.0283,397.59,5.45167,13.43
2302.5,664.443,50.9033,180.575,5.39667,12.8183
2303.5,191.143,16.2583,21.215,5.01,11.5433
2304.5,0,0.221667,0,3.30167,10.1767
2305.5,0,0.145,0,2.40833,8.78
2306.5,0.465,0.22,0,0.91,6.49333
2307.5,0.318333,0.256667,0,0.853333,4.48167
2308.5,0.611667,0.166667,0,0.555,2.995
2309.5,2.17667,0.186667,0,0.83,2.80833
2310.5,2.01,0.248333,0,0.76,2.62
2311.5,2.40167,0.206667,0,0.64,1.70833
2312.5,2.44,0.256667,0,0.756667,1.48167
2313.5,2.16,0.235,0,0.598333,-0.0733333
2314.5,3.21667,2.92333,1.49833,0.566667,-0.968333
2315.5,468.163,33.24,84.575,0.846667,0.005
2316.5,787.243,57.4933,287.058,1.94333,3.56
2317.5,896.58,74.33,502.79,2.57833,6.235
2318.5,949.09,85.8817,689.832,3.965,8.55833
2319.5,973.345,94.3533,829.338,4.76167,10.0283
2320.5,994.458,95.9067,912.503,5.46,11.6617
2321.5,1000.75,94.5383,929.44,5.765,12.87
2322.5,991.538,92.4433,880.523,5.415,14.2183
2323.5,966.47,89.0033,770.743,5.93,15.0533
2324.5,910.123,84.6683,603.532,6.32667,15.3917
2325.5,822.34,72.3583,397.615,6.00667,15.42
2326.5,627.668,53.8567,178.618,5.21833,15.0183
2327.5,176.942,17.7133,22.1633,3.29167,13.82
2328.5,0,0.055,0,2.235,12.435
2329.5,0,0.0483333,0,2.435,11.29
2330.5,0,0.0533333,0,2.05833,9.58833
2331.5,0.0283333,0.0683333,0,1.68667,7.16667
2332.5,0.963333,0.04,0,1.89833,6.07333
2333.5,0.745,0.085,0,1.39833,6.21
2334.5,1.83167,0.0333333,0,1.56167,5.27833
2335.5,2.45,0.035,0,1.85833,6.315
2336.5,0.656667,0.0283333,0,1.89167,5.99
2337.5,0.678333,0.0666667,0,1.78667,4.39667
2338.5,0.516667,3.60333,2.39167,0.743333,3.34167
2339.5,396.693,40.6517,85.29,0.976667,4.06333
2340.5,640.13,104.893,291.827,2.75,7.7
2341.5,751.635,106.527,468.208,4.47833,10.0417
2342.5,882.682,118.078,683.465,5.60167,12.1317
2343.5,932.89,113.037,820.643,7.33,13.5367
2344.5,945.507,121.56,903.215,8.10333,15.3883
2345.5,715.072,269.878,876.365,7.60833,16.58
2346.5,17.12,293.29,308.007,7.35833,16.565
2347.5,1.025,218.617,216.112,8.46667,16.295
2348.5,29.2683,154.643,167.568,9.24,14.6583
2349.5,250.003,176.412,285.558,9.15333,13.865
2350.5,180.063,58.5267,85.8467,7.28833,11.78
2351.5,69.995,17.275,18.8367,6.53667,10.8783
2352.5,0.0183333,0.295,0,5.12833,10.635
2353.5,0.0266667,0.18,0,4.78,10.0833
2354.5,0.138333,0.148333,0,4.485,10.0883
2355.5,0.64,0.268333,0,6.495,10.14
2356.5,0.0133333,0.323333,0,8.415,10.1033
2357.5,0,0.271667,0,5.16167,9.17833
2358.5,0.00833333,0.301667,0,5.13333,8.17333
2359.5,0.0666667,0.228333,0,4.27,7.685
2360.5,0.183333,0.433333,0,5.12167,7.335
2361.5,0.436667,0.49,0,6.86833,7.34
2362.5,0.161667,3.38,1.30833,7.08167,7.18667
2363.5,231.13,40.6583,72.4283,7.82833,7.34667
2364.5,436.432,101.147,227.528,8.87833,7.795
2365.5,758.328,113.177,485.243,8.51,8.54167
2366.5,756.623,143.993,628.28,8.96833,9.95
2367.5,351.055,262.378,529.905,10.1583,11.0117
2368.5,150.4,282.408,406.648,8.72167,11.5383
2369.5,34.4567,298.072,327.077,7.69833,11.8833
2370.5,202.702,281.192,443.345,7.19167,12.2683
2371.5,301.935,264.815,481.672,8.615,12.61
2372.5,520.09,155.635,445.09,6.01,11.9033
2373.5,407.228,136.948,298.918,4.68333,12.08
2374.5,239.55,74.935,122.628,3.655,12.0417
2375.5,0,13.77,11.255,2.07333,10.8133
2376.5,0.283333,0.72,0,6.67167,9.33333
2377.5,0.0366667,0.513333,0,5.115,6.95833
2378.5,0.251667,0.203333,0,3.44,6.83667
2379.5,0.0216667,0.396667,0,3.08833,6.84
2380.5,0.198333,0.00833333,0,3.67167,5.94333
2381.5,0.61,0.0366667,0,2.135,4.895
2382.5,1.61167,0.108333,0,0.451667,3.665
2383.5,1.60333,0.13,0,0.546667,3.12667
2384.5,2.09,0.141667,0,1.73667,2.685
2385.5,2.775,0.113333,0,2.42167,2.31667
2386.5,4.17333,3.965,2.25667,2.63833,3.44667
2387.5,442.317,38.635,91.8383,2.38833,4.365
2388.5,718.362,68.3783,288.465,4.805,6.63333
2389.5,831.215,90.0917,499.237,6.435,7.85167
2390.5,529.725,184.36,516.487,7.80167,8.56167
2391.5,59.7883,269.028,314.845,8.02,8.67667
2392.5,6.215,288.587,293.702,8.66,8.67
2393.5,14.6817,297.883,309.988,6.92167,8.89667
2394.5,3.53,222.245,224.997,7.48833,8.805
2395.5,5.48333,278.363,282.763,5.59167,7.99833
2396.5,3.00667,206.147,207.438,6.34333,8.01667
2397.5,0.0483333,128.18,126.735,6.02833,7.02667
2398.5,0,58.9033,56.8417,6.90833,6.25333
2399.5,0.025,6.28333,3.93667,5.61,5.07333
2400.5,0.406667,0.738333,0,5.38333,3.72167
2401.5,0.831667,0.521667,0,4.82333,3.25667
2402.5,1.085,0.466667,0,4.435,3.215
